,Brand,Model,Spec,Year,dB at idle,dB at 50km/h,dB at 80km/h,dB at 100km/h,dB at 120km/h,dB at 140km/h
251,BMW,i3, ,2017, 45.5 , 55.1 , 58.9 , 62.9 , 70.1 , 70.2 
252,BMW,i8, ,2014, 42.3 , 60.2 , 62.6 , 64.9 , 70.6 , 72.3 
253,BMW,M2, ,2016, 49.9 , 61.8 , 64.5 , 67.3 , 69.1 , 72.7 
254,BMW,M2, ,2017, 44.9 , 61.8 , 65.5 , 69.3 , 70.1 , 73.7 
255,BMW,M3, ,2008, 51.1 , 61.1 , 67.3 , 70.4 , 73.7 , 77.0 
256,BMW,M3,Cabrio,2008, 53.4 , 62.7 , 68.6 , 71.6 , 74.3 , 77.0 
257,BMW,M3, ,2013, 48.0 , 58.2 , 64.7 , 67.9 , 71.2 , 74.5 
258,BMW,M3, ,2014, 44.9 , 60.2 , 64.6 , 68.9 , 71.5 , 73.3 
259,BMW,M3, ,2017, 48.9 , 62.7 , 65.5 , 68.3 , 72.1 , 75.8 
260,BMW,M4, ,2017, 46.9 , 64.7 , 67.0 , 67.9 , 68.2 , 71.7 
261,BMW,M4,CS,2017, 45.9 , 62.7 , 66.5 , 70.3 , 71.1 , 74.7 
262,BMW,M5, ,2012, 44.4 , 54.6 , 62.8 , 65.7 , 68.4 , 71.5 
263,BMW,M6,Cabrio,2012, 48.8 , 56.3 , 61.3 , 62.9 , 68.2 , 73.6 
264,BMW,M6, ,2017, 44.9 , 59.8 , 63.0 , 66.3 , 67.2 , 70.6 
265,BMW,X1,xDrive 20d,2011, 44.5 , 59.5 , 62.4 , 65.5 , 68.5 , 71.0 
266,BMW,X1,Xdrive 28i,2011, 42.9 , 52.8 , 60.7 , 64.7 , 66.0 , 67.7 
267,BMW,X1,xDrive 30i,2013, 48.8 , 56.2 , 60.9 , 63.1 , 65.9 , 68.7 
268,BMW,X1,xDrive 28i,2015, 42.9 , 59.2 , 62.6 , 65.9 , 68.6 , 70.3 
269,BMW,X1,xDrive 20d,2016, 45.1 , 58.2 , 61.7 , 65.3 , 67.3 , 70.7 
270,BMW,X1,sDrive18i,2017, 43.9 , 56.8 , 60.5 , 64.3 , 66.2 , 69.6 
271,BMW,X3,xDrive 30i,2008, 42.2 , 51.9 , 59.7 , 64.5 , 64.9 , 65.6 
272,BMW,X3,xDrive 35d,2008, 41.8 , 57.1 , 61.3 , 64.6 , 68.1 , 70.2 
273,BMW,X3,xDrive 20d,2011, 46.2 , 58.2 , 62.1 , 65.3 , 69.1 , 72.4 
274,BMW,X3,xDrive 35i,2011, 44.0 , 54.1 , 60.5 , 63.3 , 67.7 , 72.1 
275,BMW,X3,xDrive 20d,2014, 41.2 , 57.2 , 60.6 , 63.8 , 66.6 , 68.3 
276,BMW,X3,xDrive 20d,2016, 48.1 , 61.2 , 62.8 , 64.3 , 65.3 , 68.7 
277,BMW,X3,xDrive 35d,2016, 45.9 , 56.8 , 60.0 , 63.3 , 65.2 , 68.6 
278,BMW,X3,xDrive20d,2017, 48.9 , 57.8 , 61.0 , 64.3 , 68.2 , 71.7 
279,BMW,X4,xDrive 35d,2014, 41.6 , 57.4 , 60.7 , 63.9 , 66.7 , 68.4 
280,BMW,X4,xDrive 35i,2015, 41.3 , 56.3 , 61.8 , 64.9 , 67.9 , 71.2 
281,BMW,X4,xDrive 30d,2016, 47.9 , 57.8 , 60.5 , 63.3 , 65.2 , 68.6 
282,BMW,X5,M,2010, 43.0 , 51.9 , 57.6 , 59.9 , 64.7 , 69.5 
283,BMW,X5,xDrive 30d,2010, 44.3 , 54.6 , 62.7 , 65.1 , 68.3 , 71.9 
284,BMW,X5,xDrive 30d,2012, 43.2 , 55.5 , 60.1 , 63.3 , 66.6 , 70.2 
285,BMW,X5,xDrive 30d,2012, 42.6 , 52.5 , 60.4 , 63.4 , 65.7 , 68.2 
286,BMW,X5,xDrive 30d,2013, 41.4 , 56.3 , 58.0 , 60.8 , 64.6 , 68.2 
287,BMW,X5,3.0 V6,2014, 40.3 , 50.7 , 57.2 , 60.5 , 63.5 , 66.5 
288,BMW,X5,xDrive 30d,2014, 41.6 , 56.2 , 60.1 , 63.9 , 65.7 , 67.3 
289,BMW,X5,xDrive 50i,2014, 46.1 , 55.2 , 58.2 , 61.2 , 64.4 , 67.7 
290,BMW,X5,xDrive 30d,2015, 41.6 , 56.2 , 60.1 , 63.9 , 67.6 , 69.3 
291,BMW,X5,xDrive40e,2016, 36.5 , 51.6 , 56.9 , 60.9 , 64.8 , 66.9 
292,BMW,X6,xDrive 35i,2008, 42.2 , 54.4 , 62.0 , 66.3 , 68.4 , 70.6 
293,BMW,X6,xDrive 35d,2009, 46.4 , 57.6 , 61.4 , 64.5 , 67.4 , 70.3 
294,BMW,X6,xDrive 35i,2016, 45.3 , 56.1 , 62.7 , 66.3 , 68.9 , 71.6 
295,BMW,Z4,sDrive 35i,2009, 48.4 , 58.4 , 64.7 , 67.9 , 70.9 , 74.0 
296,BMW,Z4,sDrive 35is,2011, 48.9 , 59.3 , 65.8 , 69.1 , 72.2 , 75.3 
297,Buick,Cascada,1.6 cabrio,2016, 44.2 , 57.0 , 64.7 , 69.6 , 70.5 , 71.5 
298,Buick,Enclave,3.6 V6,2008, 44.3 , 55.5 , 62.4 , 66.3 , 68.4 , 70.4 
299,Buick,Enclave,3.6 V6,2012, 43.1 , 52.7 , 58.7 , 62.0 , 64.1 , 66.2 
300,Buick,Enclave,3.6 V6,2016, 41.9 , 52.0 , 58.3 , 61.8 , 63.9 , 66.0 
301,Buick,LaCrosse,CXS,2010, 44.9 , 56.3 , 63.4 , 67.1 , 70.1 , 73.2 
302,Buick,LaCrosse,3.6 V6,2013, 41.4 , 50.7 , 56.6 , 59.4 , 62.7 , 66.1 
303,Buick,Regal,CXL 2.4,2011, 44.5 , 54.9 , 61.3 , 64.9 , 67.0 , 69.1 
304,Buick,Verano,2.4,2012, 44.0 , 54.5 , 60.8 , 64.7 , 65.9 , 67.2 
305,Buick,Verano,Turbo,2012, 41.2 , 51.3 , 57.6 , 61.0 , 63.5 , 66.0 
306,Cadillac,ATS,Turbo,2012, 41.7 , 53.6 , 61.0 , 65.0 , 67.6 , 70.3 
307,Cadillac,ATS,2.0,2013, 44.0 , 54.3 , 60.7 , 64.4 , 66.0 , 67.6 
308,Cadillac,ATX,3.6 V6,2012, 45.6 , 53.8 , 59.2 , 61.0 , 66.5 , 72.0 
309,Cadillac,BLS,1.9d Stationcar,2008, 43.6 , 53.7 , 61.7 , 65.1 , 67.2 , 69.5 
310,Cadillac,CTS,3.6,2008, 40.6 , 57.5 , 63.0 , 64.0 , 65.5 , 68.0 
311,Cadillac,CTS,3.6 V6,2008, 44.1 , 55.4 , 62.7 , 66.0 , 70.6 , 75.2 
312,Cadillac,CTS,Stationcar,2010, 42.2 , 50.7 , 56.2 , 58.7 , 62.0 , 65.3 
313,Cadillac,CTS,3.6 Stationcar,2011, 40.7 , 57.1 , 62.1 , 65.4 , 67.3 , 69.9 
314,Cadillac,CTS,3.6,2012, 42.4 , 52.2 , 60.1 , 64.7 , 65.3 , 66.2 
315,Cadillac,CTS,3.6 V6,2013, 46.7 , 54.5 , 59.8 , 61.2 , 67.5 , 73.9 
316,Cadillac,CTS,3.6 V6,2015, 42.3 , 58.2 , 61.6 , 64.9 , 66.6 , 68.3 
317,Cadillac,CTS,2.0,2016, 44.2 , 55.1 , 60.1 , 62.6 , 65.1 , 68.1 
318,Cadillac,CTS Coupe,3.6 V6,2011, 44.3 , 56.0 , 63.3 , 67.4 , 69.5 , 71.6 
319,Cadillac,CTS-V,Hennessey,2010, 58.4 , 64.8 , 69.2 , 70.1 , 76.1 , 82.2 
320,Cadillac,CTS-V,Stationcar,2011, 50.0 , 58.4 , 63.7 , 66.3 , 69.0 , 71.6 
321,Cadillac,CTS-V,6.2 V8,2012, 44.5 , 54.8 , 63.0 , 66.7 , 68.5 , 70.7 
322,Cadillac,CTS-V, ,2017, 45.9 , 60.8 , 63.5 , 64.9 , 66.2 , 69.6 
323,Cadillac,Escalade,Hybrid,2009, 48.3 , 58.6 , 64.9 , 68.7 , 69.9 , 71.2 
324,Cadillac,Escalade,6.2 V8,2016, 38.4 , 52.3 , 60.7 , 65.8 , 67.2 , 68.6 
325,Cadillac,SRX,2.8 V6 Turbo,2010, 43.3 , 55.5 , 63.0 , 67.5 , 69.0 , 70.6 
326,Cadillac,SRX,3.0 V6,2010, 42.8 , 55.9 , 63.9 , 68.5 , 70.9 , 73.3 
327,Cadillac,XT5,3.6 V6,2017, 43.9 , 55.8 , 59.5 , 63.3 , 65.2 , 68.6 
328,Chevrolet,Aveo,1.2,2008, 48.0 , 59.1 , 68.0 , 70.9 , 74.0 , 77.5 
329,Chevrolet,Aveo,1.4 LT,2011, 42.1 , 59.9 , 64.6 , 66.8 , 70.9 , 73.4 
330,Chevrolet,Camaro,2LT V6,2010, 43.0 , 52.2 , 58.1 , 60.7 , 65.0 , 69.4 
331,Chevrolet,Camaro,Callaway,2010, 55.3 , 63.6 , 68.7 , 71.5 , 73.3 , 75.1 
332,Chevrolet,Camaro,SS,2010, 53.8 , 60.6 , 65.1 , 66.6 , 71.1 , 75.6 
333,Chevrolet,Camaro,SS Cabrio,2011, 51.5 , 59.6 , 64.9 , 67.0 , 71.2 , 75.4 
334,Chevrolet,Camaro,ZL1,2011, 61.2 , 66.9 , 70.7 , 71.8 , 76.0 , 80.2 
335,Chevrolet,Camaro,6.2 V8,2012, 50.3 , 59.6 , 65.5 , 68.3 , 71.8 , 75.3 
336,Chevrolet,Camaro,6.2 V8,2016, 48.9 , 62.7 , 65.5 , 68.3 , 69.1 , 72.7 
337,Chevrolet,Camaro,6.2 V8,2017, 46.9 , 62.7 , 64.5 , 66.3 , 67.2 , 70.6 
338,Chevrolet,Captiva,2.0 VCDI,2008, 45.1 , 55.5 , 63.8 , 66.9 , 69.5 , 72.5 
339,Chevrolet,Cobalt,SS,2008, 49.5 , 60.0 , 66.5 , 70.2 , 72.1 , 74.1 
340,Chevrolet,Cobalt,2.2,2009, 46.2 , 58.2 , 65.6 , 69.9 , 71.6 , 73.3 
341,Chevrolet,Corvette, ,2008, 61.4 , 65.8 , 69.0 , 69.4 , 74.5 , 79.7 
342,Chevrolet,Corvette,ZR1,2009, 57.7 , 65.2 , 70.2 , 71.6 , 77.5 , 83.4 
343,Chevrolet,Corvette,6.2 V8,2010, 53.1 , 58.3 , 62.1 , 62.3 , 69.1 , 76.0 
344,Chevrolet,Corvette,ZR1,2010, 58.3 , 66.5 , 71.9 , 73.7 , 79.1 , 84.4 
345,Chevrolet,Corvette,6.2 V8,2011, 57.2 , 68.3 , 75.1 , 79.1 , 80.9 , 82.7 
346,Chevrolet,Corvette,ZR1,2012, 54.4 , 60.7 , 65.1 , 66.0 , 72.0 , 77.9 
347,Chevrolet,Corvette,Stingray,2013, 52.6 , 62.0 , 68.1 , 70.5 , 75.5 , 80.5 
348,Chevrolet,Corvette,6.2 V8 Convertible,2016, 55.8 , 62.7 , 66.5 , 70.3 , 73.0 , 76.8 
349,Chevrolet,Corvette,Stingray 6.2 V8,2017, 55.8 , 63.7 , 67.5 , 71.3 , 75.0 , 78.8 
350,Chevrolet,Cruze,1.8 LT,2009, 41.6 , 60.4 , 63.4 , 66.2 , 69.8 , 73.7 
351,Chevrolet,Cruze,1.4 turbo,2012, 45.6 , 58.3 , 63.8 , 67.9 , 70.3 , 74.4 
352,Chevrolet,Cruze,1.8,2012, 45.5 , 61.0 , 62.3 , 66.0 , 70.0 , 73.5 
353,Chevrolet,Equinox,Fuel Cell,2008, 49.8 , 57.9 , 62.8 , 65.9 , 66.5 , 67.1 
354,Chevrolet,Equinox,LT2,2010, 39.9 , 51.3 , 58.4 , 62.0 , 65.5 , 69.1 
355,Chevrolet,HHR,2.4,2008, 46.0 , 56.6 , 65.0 , 67.7 , 70.8 , 74.3 
356,Chevrolet,Impala,2.5,2013, 39.3 , 50.6 , 57.7 , 61.3 , 64.7 , 68.1 
357,Chevrolet,Lacetti,2.0 TCDI,2008, 43.0 , 53.0 , 60.9 , 64.7 , 66.2 , 68.1 
358,Chevrolet,Malibu,3.6 V6,2008, 44.5 , 55.0 , 61.6 , 65.1 , 67.8 , 70.5 
359,Chevrolet,Malibu,2.4,2012, 36.7 , 51.7 , 60.8 , 66.3 , 68.0 , 69.8 
360,Chevrolet,Malibu,1.5,2016, 42.7 , 55.3 , 62.9 , 67.6 , 68.8 , 70.0 
361,Chevrolet,Orlando,1.8 LTZ,2011, 39.1 , 57.3 , 61.2 , 63.7 , 66.0 , 70.0 
362,Chevrolet,Silverado,Hybrid,2009, 46.3 , 57.2 , 63.8 , 67.7 , 69.6 , 71.5 
363,Chevrolet,Silverado,5.3 V8,2016, 42.7 , 54.5 , 61.7 , 66.1 , 67.4 , 68.8 
364,Chevrolet,Sonic,1.4,2012, 44.4 , 55.8 , 62.8 , 66.7 , 69.2 , 71.7 
365,Chevrolet,SS,6.2 V8,2014, 45.8 , 55.3 , 61.3 , 64.0 , 67.9 , 71.8 
366,Chevrolet,Suburban,5.3 V8,2016, 41.7 , 53.8 , 61.1 , 65.6 , 66.8 , 68.0 
367,Chevrolet,Tahoe,Hybrid,2008, 48.0 , 56.2 , 61.3 , 63.8 , 66.7 , 69.7 
368,Chevrolet,Tahoe,5.3 V8,2013, 46.0 , 54.7 , 60.5 , 62.4 , 68.5 , 74.6 
369,Chevrolet,Tahoe,5.3 V8,2014, 39.1 , 49.9 , 56.5 , 60.2 , 62.5 , 64.8 
370,Chevrolet,Traverse,3.6 V6,2009, 42.4 , 53.6 , 60.7 , 64.3 , 67.7 , 71.2 
371,Chevrolet,Volt,electric mode,2011, 37.1 , 52.2 , 61.3 , 67.3 , 67.7 , 68.2 
372,Chevrolet,Volt,petrol mode,2011, 48.7 , 61.1 , 68.7 , 73.3 , 74.6 , 76.0 
373,Chevrolet,Volt, ,2012, 43.3 , 56.7 , 62.5 , 64.8 , 66.7 , 70.0 
374,Chrysler,200, ,2011, 44.8 , 54.5 , 60.5 , 63.6 , 66.6 , 69.7 
375,Chrysler,300, ,2011, 40.9 , 50.9 , 57.3 , 60.4 , 63.7 , 67.0 
376,Chrysler,Grand Voyager,2.8 CRD,2008, 50.7 , 58.3 , 63.7 , 65.7 , 68.5 , 71.4 
377,Chrysler,Grand Voyager,3.8 V6,2008, 46.2 , 56.8 , 65.3 , 68.1 , 71.1 , 74.5 
378,Chrysler,Sebring,3.5 V6,2008, 47.3 , 56.0 , 61.6 , 64.0 , 67.9 , 71.8 
379,Chrysler,Town and Country,3.6 V6,2014, 42.0 , 53.0 , 59.8 , 63.6 , 66.1 , 68.6 
380,Citroen,Berlingo,1.6 16V,2008, 44.0 , 62.8 , 66.1 , 68.1 , 70.9 , 73.6 
381,Citroen,C1,1.0,2008, 52.4 , 66.2 , 70.7 , 73.4 , 78.6 , 84.5 
382,Citroen,C1,1.0,2009, 48.8 , 65.4 , 68.4 , 71.2 , 75.0 , 77.4 
383,Citroen,C1,1.0,2009, 47.3 , 58.2 , 67.0 , 71.8 , 72.8 , 74.2 
384,Citroen,C1,1.0,2012, 47.3 , 58.2 , 67.0 , 71.8 , 72.8 , 74.2 
385,Citroen,C1,1.0,2013, 43.4 , 61.3 , 66.7 , 69.3 , 74.2 , 76.1 
386,Citroen,C3,1.4 VTI Picasso,2009, 44.1 , 60.8 , 63.5 , 65.8 , 69.4 , 71.6 
387,Citroen,C3,1.4 VTI,2010, 36.7 , 59.2 , 63.2 , 66.7 , 68.6 , 72.4 
388,Citroen,C3,1.6 Picasso,2013, 39.7 , 58.6 , 64.7 , 68.0 , 71.2 , 74.0 
389,Citroen,C3,1.2,2017, 46.2 , 55.1 , 61.2 , 64.1 , 71.1 , 71.2 
390,Citroen,C3,1.2 Aircross,2017, 38.7 , 57.2 , 62.8 , 64.2 , 71.3 , 71.3 
391,Citroen,C3,1.6d,2017, 46.9 , 60.8 , 64.0 , 67.3 , 68.2 , 71.7 
392,Citroen,C4,1.6 16V Coupe,2008, 41.4 , 62.2 , 65.5 , 67.7 , 70.3 , 72.1 
393,Citroen,C4,1.6 THP,2008, 43.7 , 53.8 , 61.8 , 66.4 , 67.2 , 68.3 
394,Citroen,C4,2.0 HDiF,2008, 40.7 , 50.1 , 57.6 , 61.6 , 62.6 , 63.9 
395,Citroen,C4,1.6 VTI,2009, 42.6 , 62.8 , 64.8 , 67.9 , 69.6 , 72.3 
396,Citroen,C4,1.6 VTI Picasso ,2009, 40.9 , 59.8 , 63.9 , 66.0 , 69.7 , 71.8 
397,Citroen,C4,1.6 VTI,2010, 39.2 , 58.4 , 63.3 , 66.3 , 69.2 , 71.7 
398,Citroen,C4,1.6 e-HDI,2011, 44.2 , 54.4 , 62.6 , 66.7 , 68.0 , 69.7 
399,Citroen,C4,1.6 THP Picasso,2011, 38.6 , 39.6 , 62.1 , 64.9 , 68.2 , 70.6 
400,Citroen,C4,1.6 Aircross,2012, 45.0 , 55.4 , 63.7 , 68.3 , 69.2 , 70.5 
401,Citroen,C4,1.6 Picasso,2012, 45.2 , 55.6 , 63.9 , 67.1 , 69.6 , 72.5 
402,Citroen,C4,1.6 Picasso,2013, 42.4 , 55.8 , 60.7 , 62.3 , 65.3 , 68.1 
403,Citroen,C4,Cactus 1.2,2014, 39.6 , 59.3 , 63.0 , 66.5 , 68.5 , 72.1 
404,Citroen,C4,2.0 HDi Grand Picasso,2015, 42.3 , 59.2 , 62.1 , 64.9 , 67.6 , 69.3 
405,Citroen,C4 Picasso,1.2 Picasso,2017, 40.5 , 54.9 , 58.7 , 62.3 , 69.0 , 69.1 
406,Citroen,C5,2.0 HDiF,2008, 41.2 , 50.7 , 58.3 , 61.2 , 63.5 , 66.0 
407,Citroen,C5,2.0 HDiF Stationcar,2008, 43.4 , 53.4 , 61.5 , 64.3 , 66.9 , 69.9 
408,Citroen,C5,2.0 Stationcar,2008, 39.0 , 59.3 , 62.2 , 64.0 , 67.1 , 69.4 
409,Citroen,C5,2.7 V6 HDiF,2008, 44.1 , 63.0 , 66.0 , 68.0 , 70.0 , 72.0 
410,Citroen,C5,2.0,2009, 45.4 , 55.9 , 64.3 , 67.2 , 70.0 , 73.2 
411,Citroen,C5,3.0 HDiF,2010, 44.1 , 54.3 , 62.5 , 66.7 , 67.9 , 69.5 
412,Citroen,C5,1.6 THP Tourer,2011, 43.7 , 53.8 , 61.8 , 65.3 , 67.2 , 69.5 
413,Citroen,C6,2.7 HDiF,2008, 42.9 , 52.8 , 60.7 , 64.0 , 66.1 , 68.4 
414,Citroen,C6,3.0,2008, 41.1 , 56.5 , 60.1 , 62.2 , 65.2 , 67.3 
415,Citroen,C-Crosser,2.2 HDiF,2008, 44.3 , 54.6 , 62.7 , 67.6 , 68.2 , 69.1 
416,Citroen,C-Zero, ,2011, 45.0 , 55.4 , 63.7 , 67.5 , 69.2 , 71.3 
417,Citroen,DS3,1.6 VTI,2010, 38.1 , 63.1 , 65.4 , 67.9 , 70.6 , 71.7 
418,Citroen,DS4,1.6,2011, 44.4 , 54.6 , 62.8 , 65.6 , 68.4 , 71.6 
419,Citroen,DS4,1.6 THP 200,2011, 43.6 , 57.7 , 61.7 , 63.9 , 67.1 , 69.5 
420,Citroen,DS4,VTi,2011, 44.4 , 54.6 , 62.8 , 65.6 , 68.4 , 71.6 
421,Citroen,DS5,HDI,2012, 48.3 , 57.4 , 62.6 , 63.2 , 66.1 , 70.5 
422,Dacia,Duster,1.6,2010, 49.2 , 65.1 , 68.1 , 71.1 , 75.1 , 78.1 
423,Dacia,Duster,1.6 16v,2012, 43.7 , 61.3 , 66.6 , 68.2 , 71.9 , 76.4 
424,Dacia,Duster,1.2,2014, 41.3 , 57.7 , 63.5 , 66.2 , 70.4 , 72.9 
425,Dacia,Duster,1.2,2015, 44.2 , 61.2 , 64.6 , 67.9 , 70.6 , 72.3 
426,Dacia,Lodgy,1.2,2013, 47.6 , 60.2 , 65.2 , 69.9 , 73.3 , 75.3 
427,Dacia,Logan,1.4 MPI,2008, 46.7 , 64.2 , 68.0 , 70.6 , 75.2 , 80.4 
428,Dacia,Logan,1.6,2008, 47.0 , 57.8 , 66.5 , 69.8 , 72.4 , 75.4 
429,Dacia,Logan,1.6,2009, 47.2 , 58.1 , 66.8 , 69.2 , 72.7 , 76.7 
430,Dacia,Sandero,1.6,2008, 47.1 , 57.9 , 66.6 , 70.2 , 72.5 , 75.0 
431,Dacia,Sandero,1.2 16V,2010, 42.7 , 64.5 , 67.3 , 70.9 , 73.4 , 76.8 
432,Dacia,Sandero,0.9,2013, 43.9 , 54.0 , 62.1 , 65.9 , 67.5 , 69.5 
433,Daihatsu,Cuore,1.0,2009, 47.2 , 58.1 , 66.8 , 70.1 , 72.7 , 75.7 
434,Daihatsu,Materia,1.3,2008, 45.7 , 56.2 , 64.7 , 67.9 , 70.4 , 73.3 
435,Daihatsu,Sirion,1.0,2008, 46.4 , 57.1 , 65.7 , 69.1 , 71.5 , 74.1 
436,Daihatsu,Sirion2,1.0,2008, 46.7 , 64.0 , 69.7 , 72.5 , 75.9 , 79.8 
437,Dodge,Avenger,2.0,2008, 44.7 , 55.0 , 63.3 , 67.6 , 68.8 , 70.4 
438,Dodge,Caliber,2.4,2008, 46.0 , 56.6 , 65.0 , 68.1 , 70.8 , 73.9 
439,Dodge,Caliber,SRT-4,2008, 52.8 , 59.9 , 64.4 , 66.3 , 69.8 , 73.4 
440,Dodge,Challenger,SRT8,2008, 48.8 , 59.7 , 66.5 , 69.9 , 73.4 , 76.9 
441,Dodge,Challenger,SRT8,2011, 51.2 , 59.3 , 64.5 , 66.7 , 70.6 , 74.5 
442,Dodge,Challenger,5.7 V8,2016, 45.3 , 57.5 , 65.1 , 69.2 , 72.2 , 75.2 
443,Dodge,Charger,SRT8,2012, 46.4 , 55.9 , 62.0 , 64.7 , 68.8 , 72.9 
444,Dodge,Dart,1.4 turbo,2012, 42.3 , 52.8 , 59.4 , 62.9 , 65.6 , 68.3 
445,Dodge,Journey,2.4,2008, 43.2 , 53.2 , 61.2 , 64.8 , 66.5 , 68.6 
446,Dodge,Journey,3.6 V6,2016, 43.1 , 55.5 , 63.0 , 67.8 , 68.4 , 69.0 
447,Dodge,Ram,1500,2009, 43.5 , 54.7 , 61.6 , 65.3 , 67.9 , 70.6 
448,Dodge,Ram,5.7 V8,2010, 39.2 , 47.5 , 52.6 , 55.3 , 57.8 , 60.3 
449,Dodge,Ram,3.6 V6,2012, 40.1 , 51.0 , 57.9 , 61.3 , 64.9 , 68.4 
450,Dodge,Ram,1500 3.6 V6,2013, 39.2 , 51.6 , 59.4 , 63.4 , 67.1 , 70.8 
451,Dodge,Viper,SRT-10,2008, 61.3 , 68.6 , 73.3 , 75.0 , 79.4 , 83.8 
452,Dodge,Viper,8.4 V10,2013, 60.1 , 67.5 , 72.3 , 74.1 , 78.4 , 82.7 
453,DS,4,1.6D,2016, 42.6 , 54.8 , 60.8 , 61.8 , 66.4 , 69.4 
454,DS,5, ,2015, 40.2 , 58.3 , 61.8 , 64.3 , 68.1 , 70.1 
455,Fiat,124,1.4,2016, 47.9 , 64.7 , 69.0 , 73.3 , 76.0 , 79.9 
456,Fiat,500,1.4,2008, 46.5 , 57.2 , 65.8 , 70.2 , 71.5 , 73.2 
457,Fiat,500,1.2,2009, 46.8 , 57.6 , 66.2 , 70.5 , 72.0 , 73.9 
458,Fiat,500,0.9 TwinAir Plus,2011, 47.1 , 59.6 , 64.5 , 67.7 , 72.6 , 76.6 
459,Fiat,500,1.4,2011, 47.7 , 57.5 , 63.5 , 66.7 , 69.3 , 72.0 
460,Fiat,500, ,2012, 45.0 , 56.4 , 63.5 , 67.3 , 70.1 , 72.9 
461,Fiat,500,Abarth,2012, 49.0 , 59.9 , 66.7 , 70.2 , 73.1 , 76.0 
462,Fiat,500, ,2015, 47.8 , 59.4 , 65.1 , 68.0 , 73.7 , 76.1 
463,Fiat,500 C,0.9,2013, 45.9 , 61.5 , 65.0 , 68.4 , 72.2 , 76.5 
464,Fiat,500 L,0.9,2013, 42.4 , 61.5 , 65.5 , 66.7 , 71.1 , 73.9 
465,Fiat,500 L,1.3,2013, 44.7 , 55.0 , 63.2 , 68.0 , 68.7 , 69.8 
466,Fiat,500X,1.4,2015, 39.9 , 57.6 , 62.4 , 65.9 , 69.4 , 72.9 
467,Fiat,Bravo,1.4,2008, 44.6 , 54.9 , 63.1 , 67.3 , 68.6 , 70.3 
468,Fiat,Bravo,2.0 MultiJet,2009, 46.8 , 61.4 , 65.4 , 67.6 , 70.4 , 72.1 
469,Fiat,Doblo,1.4,2011, 45.9 , 56.5 , 65.0 , 68.3 , 70.7 , 73.3 
470,Fiat,Grande Punto,1.3 MultiJet 16v,2011, 43.4 , 60.5 , 64.1 , 67.2 , 69.8 , 74.6 
471,Fiat,Panda,1.2,2008, 48.3 , 63.9 , 70.2 , 71.7 , 75.1 , 79.0 
472,Fiat,Panda,0.9,2012, 46.7 , 57.5 , 66.1 , 69.4 , 72.0 , 75.0 
473,Fiat,Panda,0.9,2013, 44.8 , 58.1 , 65.5 , 68.9 , 72.4 , 76.1 
474,Fiat,Punto,0.9,2012, 43.7 , 53.8 , 61.9 , 66.2 , 67.3 , 68.8 
475,Fiat,Punto Evo,1.3D,2010, 44.1 , 54.3 , 62.5 , 65.7 , 68.0 , 70.5 
476,Fiat,Punto Evo,1.4,2010, 45.6 , 56.1 , 64.5 , 67.3 , 70.2 , 73.5 
477,Fiat,Punto Evo,1.4 MultiAir,2010, 39.3 , 60.5 , 64.6 , 67.2 , 71.0 , 73.5 
478,Fiat,Punto Evo,1.3 MultiJet 16v,2011, 45.4 , 59.5 , 64.8 , 66.1 , 68.8 , 69.4 
479,Fiat,Qubo,1.4,2009, 46.3 , 57.0 , 65.5 , 68.5 , 71.3 , 74.5 
480,Fiat,Sedici,1.6,2008, 45.6 , 56.1 , 64.5 , 67.9 , 70.2 , 72.7 
481,Fiat,Sedici,1.6,2010, 45.4 , 55.8 , 64.2 , 66.6 , 69.9 , 73.6 
482,Fiat,Tipo,1.6d,2017, 46.8 , 56.3 , 61.1 , 64.1 , 70.6 , 70.7 
483,Ford,B-Max,1.0,2012, 44.9 , 57.4 , 61.8 , 66.7 , 69.2 , 71.9 
484,Ford,C-Max,1.6 Ecoboost,2011, 44.5 , 59.5 , 62.5 , 66.0 , 68.5 , 71.0 
485,Ford,C-Max,1.6 TDCI,2011, 44.4 , 54.6 , 62.8 , 64.4 , 68.4 , 72.9 
486,Ford,C-Max,2.0 TDCI,2011, 44.6 , 54.9 , 63.1 , 66.7 , 68.6 , 70.9 
487,Ford,C-Max,Hybrid,2012, 39.5 , 51.5 , 59.1 , 63.0 , 66.4 , 69.8 
488,Ford,C-Max,1.6,2014, 44.5 , 58.4 , 61.7 , 64.9 , 68.5 , 70.9 
489,Ford,C-Max,1.0,2016, 38.9 , 57.8 , 61.5 , 65.3 , 69.1 , 72.7 
490,Ford,EcoSport,1.0,2014, 48.8 , 69.1 , 70.0 , 73.1 , 75.0 , 79.8 
491,Ford,EcoSport,1.0,2014, 42.9 , 57.0 , 60.5 , 65.7 , 68.7 , 71.7 
492,Ford,Edge, ,2011, 39.2 , 54.8 , 64.6 , 69.6 , 74.1 , 78.6 
493,Ford,Edge,2.0D,2016, 41.5 , 53.7 , 58.3 , 62.7 , 66.2 , 68.3 
494,Ford,Escape,3.0 V6,2008, 45.1 , 56.8 , 63.9 , 68.1 , 69.9 , 71.7 
495,Ford,Expedition,5.4 V8,2008, 44.1 , 56.3 , 63.6 , 68.2 , 69.1 , 70.0 
496,Ford,Explorer,3.5 V6,2011, 40.9 , 52.8 , 60.1 , 64.2 , 66.6 , 69.1 
